Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.92±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.83±0.02,25.4,300±1,5.48±0.20,0.51±0.08,,80mm bore single-stage light gas-gun,80,1.9±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.92±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.83±0.02,25.4,300±1,5.48±0.20,0.67±0.04,,80mm bore single-stage light gas-gun,80,3.1±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.92±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.83±0.02,25.4,300±1,5.48±0.20,0.66±0.05,,80mm bore single-stage light gas-gun,80,4.4±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,3.52±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.6±0.05,25.4,279±1,5.09±0.20,0.59±0.06,,80mm bore single-stage light gas-gun,80,3.2±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,3.52±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.6±0.05,25.4,279±1,5.09±0.20,0.52±0.05,,80mm bore single-stage light gas-gun,80,2±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.84±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.84±0.01,25.4,204±1,3.69±0.20,0.44±0.04,,80mm bore single-stage light gas-gun,80,3.1±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.84±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.84±0.01,25.4,204±1,3.69±0.20,0.49±0.04,,80mm bore single-stage light gas-gun,80,2.3±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.84±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.84±0.01,25.4,204±1,3.69±0.20,0.43±0.04,,80mm bore single-stage light gas-gun,80,2.1±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.70±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.57±0.01,25.4,141±1,2.7±0.20,0.48±0.05,,80mm bore single-stage light gas-gun,80,1.9±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
CuNi (GRCop-84–Inconel® 625),"The materials investigated in this work include disks machined from a bimetallic cylinder consisting of AM GRCop-84 (Cu-8 at. % Cr-4 at. % Nb), which is a powder metallurgy copper alloy developed by the NASA Glenn Research Center (GRC) for high temperature applications, and Inconel® 625, a nickel-based superalloy with excellent high temperature mechanical properties. Figure 1(a) shows a sketch (not to scale) of a small section of the right-circular cylinder with a nominal wall thickness of 6.35mm and an outer diameter of ∼221 mm, fabricated via SLM using GRCop-84 at NASA GRC and Inconel® 625 deposited around the outside of the cylinder using EBF3 at the NASA Langley Research Center. The fabricated GRCop-84 inner cylinder, as well as the final bimetallic structure, was hot isostatically pressed (HIP). The microstructure of GRCop-84 has nanoscale Cr2Nb precipitates (up to ∼14 vol. %) that form at the grain boundaries of the copper matrix, which has grain sizes typically around 2–30 μm.36 Inconel® deposited via EBF,3 has a microstructure consisting of a cellular dendritic structure that grows epitaxially in the build direction on the inner GRCop-84 cylinder.34 The deposition process creates a generally wavy and irregular interface between the bimetallic constituents. The two-layered bimetallic samples were machined using wire electrical discharge in the form of disks with a 25.4mm diameter and approximately 5mm thickness.",,,70,226,75,55,147,48,131,0.34,1350±10,4.70±0.01,25.4,16,8.575±0.02,5345±25,,4555±30,Cu,0,1.57±0.01,25.4,141±1,2.7±0.20,0.43±0.07,,80mm bore single-stage light gas-gun,80,1.7±0.1,,"Boddorff, A. K., Jang, S., Kennedy, G., Taminger, K., & Thadhani, N. N. (2022). Spall failure of additively manufactured two-layered Cu–Ni bimetallic alloys. Journal of Applied Physics, 131(17)."
Cu-Be,"Long process, see section 2.1",,,190,500,69,106.52,143±2,45.3±0.2,203±1,0.356±0.003,,,,76±40,8.4±0.001,4920±20,2320±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,1.82,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",,,190,500,69,106.52,143±2,45.3±0.2,203±1,0.356±0.003,,,,76±40,8.4±0.001,4920±20,2320±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.15,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",,,190,500,69,106.52,143±2,45.3±0.2,203±1,0.356±0.003,,,,76±40,8.4±0.001,4920±20,2320±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.35,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",,,190,500,69,106.52,143±2,45.3±0.2,203±1,0.356±0.003,,,,76±40,8.4±0.001,4920±20,2320±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.59,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",26min ageing ,,,,,134.06,140±2,46.2±0.2,204±1,0.354±0.003,,,,,8.4±0.001,4930±20,2340±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.37,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",26min ageing ,,,,,134.06,140±2,46.2±0.2,204±1,0.354±0.003,,,,,8.4±0.001,4930±20,2340±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.5,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",26min ageing ,,,,,134.06,140±2,46.2±0.2,204±1,0.354±0.003,,,,,8.4±0.001,4930±20,2340±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.68,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",26min ageing ,,,,,279.71±10,140±2,46.2±0.2,204±1,0.354±0.003,,,,,8.4±0.001,4930±20,2340±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,2.74,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",400min ageing ,,,,,279.71±10,140±2,48.2±0.2,204±1,0.345±0.003,,,,,8.4±0.001,4930±20,2390±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,3.82,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
Cu-Be,"Long process, see section 2.1",400min ageing ,,,,,279.71±10,140±2,48.2±0.2,204±1,0.345±0.003,,,,,8.4±0.001,4930±20,2390±20,,Cu,0,1,,263±7,,,,25 mm smooth bore gas gun,25,4.04,,"Hillel, G., Meshi, L., Shimon, S., Kalabukhov, S., Frage, N., & Zaretsky, E. B. (2022). Shock wave study of precipitation hardening of beryllium copper. Materials Science and Engineering: A, 834, 142599."
1018 CRS,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,323,458,43,131,163.09,82.18,273,0.284,,8.01±0.01,51,,7.78±0.04,5920±30,3250±20,,1018 CRS,1,4.01±0.01,51,292±3,4.67±0.02,,,75mm bore singlestage gas launcher,75,1.71±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
1018 CRS,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,323,458,43,131,163.09,82.18,273,0.284,,8.01±0.01,51,,7.78±0.04,5920±30,3250±20,,1018 CRS,1,4.01±0.01,51,292±3,4.67±0.02,,,75mm bore singlestage gas launcher,75,1.71±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
1018 CRS,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,323,458,43,131,163.09,82.18,273,0.284,,7.94±0.01,51,,7.78±0.04,5920±30,3250±20,,1018 CRS,1,4.01±0.01,51,391±3,6.06±0.02,,,75mm bore singlestage gas launcher,75,1.76±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
1018 CRS,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,323,458,43,131,163.09,82.18,273,0.284,,7.95±0.01,51,,7.78±0.04,5920±30,3250±20,,1018 CRS,1,3.99±0.01,51,194±3,3.30±0.02,,,75mm bore singlestage gas launcher,75,1.71±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
HY 100,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,,689,,,163.85,81.79,205,0.286,,8±0.01,51,,7.84±0.04,5900±30,3230±20,,HY 100,1,3.96±0.01,51,394±3,6.23±0.02,,,75mm bore singlestage gas launcher,75,3.06±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
HY 100,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,,689,,,163.85,81.79,205,0.286,,7.91±0.01,51,,7.84±0.04,5900±30,3230±20,,HY 100,1,3.87±0.01,51,342±3,5.49±0.02,,,75mm bore singlestage gas launcher,75,2.97±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
HY 100,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,,689,,,163.85,81.79,205,0.286,,7.91±0.01,51,,7.84±0.04,5900±30,3230±20,,HY 100,1,3.87±0.01,51,295±3,4.82±0.02,,,75mm bore singlestage gas launcher,75,3.08±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
HY 100,"Steel samples were used in the as-received, heat-treated condition. Polycrystalline iron used in this study was electrical grade, hot-finished, high-purity iron supplied as a 1212 cm square billet. The chemical analysis of iron (in ppm wt. %) was 0.013 C, 0.10 Mn, 0.14 Si, 0.005 P, 0.16 Cr, 0.13 Ni, and the balance was Fe. The iron was given an annealing heat treatment for 1 h at 600 C, which yielded an average grain size of 60 lm.",,,,689,,,163.85,81.79,205,0.286,,7.98±0.01,51,,7.84±0.04,5900±30,3230±20,,HY 100,1,3.97±0.01,51,198±3,3.48±0.02,,,75mm bore singlestage gas launcher,75,3.01±0.01,,"Thomas, S. A., Hawkins, M. C., Matthes, M. K., Gray, G. T., & Hixson, R. S. (2018). Dynamic strength properties and alpha-phase shock Hugoniot of iron and steel. Journal of Applied Physics, 123(17)."
